,word,count
3368,good morning,86
6158,official said,90
5865,need water,100
5860,need tent,101
133,affected area,102
2331,earthquake haiti,106
3361,good evening,111
5543,million people,113
9548,water supply,116
4860,last year,118
4134,hurricane sandy,138
2202,drinking water,139
9475,water food,167
3690,heavy rain,181
9221,united nation,189
7316,red cross,198
3521,haiti earthquake,213
899,bit ly,216
715,au prince,230
5822,need food,231
6729,port au,231
3012,food water,239
5008,like know,265
5827,need help,290
9888,would like,566
